month,temperature,year
Jan,66.3,2017
Feb,68.8,2017
Mar,69.9,2017
Apr,77.1,2017
May,81,2017
Jun,82.6,2017
Jul,84.2,2017
Aug,85,2017
Sep,83.4,2017
Oct,78.2,2017
Nov,72.1,2017
Dec,67.4,2017
Jan,59.7,2018
Feb,74.2,2018
Mar,66.1,2018
Apr,74.6,2018
May,78.9,2018
Jun,83.6,2018
Jul,84.1,2018
Aug,83.9,2018
Sep,85.8,2018
Oct,80,2018
Nov,70.7,2018
Dec,65.4,2018
Jan,61,2019
Feb,70.9,2019
Mar,69.1,2019
Apr,74.7,2019
May,81.6,2019
Jun,83.9,2019
Jul,83.1,2019
Aug,84.6,2019
Sep,84,2019
Oct,81.1,2019
Nov,69.1,2019
Dec,67.6,2019
Jan,65.3,2020
Feb,66.7,2020
Mar,74.3,2020
Apr,75.4,2020
May,78.9,2020
Jun,84,2020
Jul,85.5,2020
Aug,84.8,2020
Sep,82.9,2020
Oct,81.5,2020
Nov,74.6,2020
Dec,61.2,2020
Jan,61.7,2021
Feb,67.3,2021
Mar,70.9,2021
Apr,73.9,2021
May,81.1,2021
Jun,83.8,2021
Jul,83.9,2021
Aug,84.7,2021
Sep,83,2021
Oct,79.5,2021
Nov,67.4,2021
Dec,70.9,2021
Jan,61.2,2022
Feb,66.9,2022
Mar,71.9,2022
Apr,75.6,2022
May,80.8,2022
Jun,83.9,2022
Jul,84.8,2022
Aug,84.8,2022
Sep,82.5,2022
Oct,76,2022
Nov,73.5,2022
Dec,65.5,2022
