month,temperature,year
Jan,40.1,1900
Feb,46.3,1900
Mar,53.3,1900
Apr,58.9,1900
May,64.9,1900
Jun,71.3,1900
Jul,73.3,1900
Aug,72.4,1900
Sep,68.8,1900
Oct,62.4,1900
Nov,56,1900
Dec,56,1900
Jan,65.9,1990
Feb,69,1990
Mar,69.5,1990
Apr,72,1990
May,80.4,1990
Jun,82.6,1990
Jul,82.4,1990
Aug,83.7,1990
Sep,82.6,1990
Oct,77.5,1990
Nov,70.1,1990
Dec,66.8,1990
Jan,61.2,2022
Feb,66.9,2022
Mar,71.9,2022
Apr,75.6,2022
May,80.8,2022
Jun,83.9,2022
Jul,84.8,2022
Aug,84.8,2022
Sep,82.5,2022
Oct,76,2022
Nov,73.5,2022
Dec,65.5,2022
